gen,val,
1,-3597.01589,
2,-4283.48137,
3,-5145.04902,
4,-5728.25133,
5,-6047.33913,
6,-6495.15772,
7,-6755.39871,
8,-6966.73792,
9,-7419.77961,
10,-7617.94139,
11,-7806.74827,
12,-7951.64950,
13,-8391.50641,
14,-8547.67864,
15,-8676.24425,
16,-8717.85287,
17,-8808.24337,
18,-8951.55710,
19,-9001.03071,
20,-9121.59112,
21,-9198.00633,
22,-9246.42486,
23,-9265.66890,
24,-9289.08176,
25,-9342.53573,
26,-9365.18559,
27,-9379.39478,
28,-9443.96323,
29,-9479.46726,
30,-9492.36101,
31,-9499.54481,
32,-9510.89180,
33,-9530.70752,
34,-9540.72398,
35,-9581.50136,
36,-9604.58145,
37,-9604.81306,
38,-9623.02928,
39,-9629.47103,
40,-9640.77663,
41,-9656.36937,
42,-9685.90858,
43,-9713.97585,
44,-9729.43452,
45,-9747.76471,
46,-9767.15829,
47,-9802.67561,
48,-9807.18863,
49,-9821.53127,
50,-9825.89144,
51,-9827.66111,
52,-9930.60064,
53,-9936.09682,
54,-9940.37220,
55,-9942.37172,
56,-9962.88856,
57,-9966.10638,
58,-9968.09816,
59,-9989.13242,
60,-10195.05008,
61,-10220.11417,
62,-10220.15793,
63,-10240.53063,
64,-10276.21486,
65,-10288.99911,
66,-10300.43107,
67,-10332.37449,
68,-10340.17131,
69,-10347.01698,
70,-10387.02227,
71,-10402.45909,
72,-10404.51632,
73,-10413.29098,
74,-10423.64701,
75,-10433.15135,
76,-10436.35409,
77,-10436.39027,
78,-10446.34017,
79,-10459.89707,
80,-10460.52547,
81,-10461.57397,
82,-10464.88984,
83,-10472.81225,
84,-10477.03378,
85,-10478.29465,
86,-10480.24093,
87,-10481.88477,
88,-10482.97390,
89,-10485.04747,
90,-10486.01690,
91,-10486.25999,
92,-10492.26605,
93,-10494.46826,
94,-10494.95481,
95,-10496.00502,
96,-10503.67145,
97,-10505.10703,
98,-10506.18489,
99,-10507.39967,
100,-10507.61058,
101,-10513.52160,
102,-10514.10164,
103,-10516.42691,
104,-10518.06090,
105,-10518.11031,
106,-10518.14913,
107,-10518.66670,
108,-10519.12759,
109,-10519.19746,
110,-10519.74180,
111,-10519.75005,
112,-10530.97277,
113,-10551.33439,
114,-10555.01323,
115,-10555.30038,
116,-10555.39307,
117,-10555.72343,
118,-10555.73045,
119,-10555.79069,
120,-10556.87825,
121,-10556.97204,
122,-10557.10411,
123,-10557.37998,
124,-10557.46077,
125,-10557.93719,
126,-10557.94975,
127,-10557.92253,
128,-10557.96356,
129,-10558.01875,
130,-10558.06354,
131,-10558.30956,
132,-10558.31559,
133,-10558.89716,
134,-10632.03936,
135,-10713.68677,
136,-10723.12682,
137,-10739.59443,
138,-10749.46431,
139,-10752.30706,
140,-10752.82195,
141,-10755.32251,
142,-10758.98540,
143,-10758.99310,
144,-10758.99869,
145,-10761.32178,
146,-10763.66819,
147,-10765.50088,
148,-10766.50750,
149,-10766.64550,
150,-10767.21237,
151,-10767.43512,
152,-10767.60538,
153,-10768.34226,
154,-10768.60441,
155,-10768.69568,
156,-10768.68222,
157,-10768.79438,
158,-10768.83782,
159,-10768.84315,
160,-10769.12062,
161,-10769.24622,
162,-10769.39873,
