gen,val,
1,-1171.61239,
2,-1330.85594,
3,-1476.75415,
4,-1575.34486,
5,-1649.03284,
6,-1717.76662,
7,-1757.35938,
8,-1765.92811,
9,-1770.42666,
10,-1773.13591,
11,-1773.65892,
12,-1774.92891,
13,-1775.93693,
14,-1776.18808,
15,-1776.26531,
16,-1776.43252,
17,-1776.44818,
18,-1776.57279,
19,-1776.72437,
20,-1776.79109,
21,-1776.82446,
22,-1776.83945,
23,-1776.84606,
24,-1776.85388,
25,-1776.85779,
26,-1776.86194,
27,-1776.86389,
28,-1776.87107,
29,-1776.87227,
30,-1776.87403,
31,-1776.87463,
32,-1776.87508,
33,-1776.87511,
34,-1776.87600,
35,-1776.87601,
36,-1776.87607,
37,-1776.87640,
38,-1776.87652,
39,-1776.87657,
40,-1776.87679,
41,-1776.87691,
42,-1776.87695,
43,-1776.87694,
44,-1776.87694,
45,-1873.66005,
46,-1907.79014,
47,-1907.89318,
48,-1907.89493,
49,-1907.89493,
50,-1907.89496,
51,-1941.15282,
52,-1983.58470,
53,-1987.92431,
54,-1990.00318,
55,-1991.02328,
56,-1991.15002,
57,-1991.18168,
58,-1991.68258,
59,-1991.93355,
60,-1991.99614,
61,-1992.01177,
62,-1992.07420,
63,-1992.08202,
64,-1992.08593,
65,-1992.09298,
66,-1992.09476,
67,-1992.09672,
68,-1992.09696,
69,-1992.10049,
70,-1992.10146,
71,-1992.10148,
72,-1992.10166,
73,-1999.44462,
74,-2020.33892,
75,-2025.19275,
76,-2025.81037,
77,-2026.32568,
78,-2026.33760,
79,-2026.33821,
80,-2026.33864,
81,-2026.33870,
82,-2026.33892,
83,-2026.33892,
84,-2026.33907,
85,-2026.33908,
86,-2026.33908,
87,-2026.33908,
88,-2026.33908,
89,-2026.33908,
90,-2026.33909,
91,-2026.33909,
92,-2026.33909,
93,-2026.33909,
94,-2026.33909,
95,-2026.33910,
96,-2026.33910,
97,-2026.33910,
98,-2026.33910,
99,-2026.33910,
100,-2026.33910,
101,-2026.33910,
102,-2026.33910,
103,-2026.33910,
104,-2026.33910,
105,-2026.33910,
106,-2026.33910,
107,-2026.33910,
108,-2026.33910,
109,-2026.33910,
110,-2026.33910,
111,-2026.33910,
112,-2026.33910,
113,-2026.33910,
114,-2026.33910,
115,-2026.33910,
116,-2026.33910,
117,-2026.33910,
118,-2026.33910,
119,-2026.33910,
120,-2026.33910,
121,-2026.33910,
122,-2026.33910,
123,-2026.33910,
124,-2026.33910,
125,-2026.33910,
126,-2026.33910,
127,-2026.33909,
128,-2026.33909,
129,-2026.33910,
130,-2026.33910,
131,-2026.33910,
132,-2026.33910,
133,-2026.33910,
134,-2026.33910,
135,-2026.33910,
136,-2026.33910,
137,-2026.33910,
138,-2026.33910,
139,-2026.33910,
140,-2026.33910,
141,-2026.33910,
142,-2026.33910,
143,-2026.33910,
144,-2026.33910,
145,-2026.33910,
146,-2026.33910,
147,-2026.33910,
148,-2026.33910,
149,-2026.33910,
150,-2026.33910,
151,-2026.33909,
152,-2026.33909,
153,-2026.33911,
154,-2026.33910,
155,-2026.33910,
156,-2026.33911,
157,-2026.33910,
158,-2026.33910,
159,-2026.33910,
160,-2026.33910,
161,-2026.33910,
162,-2026.33910,
163,-2026.33910,
164,-2026.33910,
165,-2033.68811,
166,-2060.46743,
167,-2060.46743,
168,-2060.46743,
169,-2060.46743,
170,-2060.46743,
171,-2060.47095,
172,-2060.47095,
173,-2060.47095,
174,-2060.47095,
175,-2060.47095,
176,-2060.47095,
177,-2060.47094,
178,-2060.47095,
179,-2060.47094,
180,-2060.47094,
181,-2060.47095,
182,-2060.47095,
183,-2060.47095,
184,-2060.47095,
185,-2060.47095,
186,-2060.47095,
187,-2060.47094,
188,-2060.47094,
189,-2060.47094,
190,-2060.47094,
191,-2060.47094,
192,-2060.47095,
193,-2060.47095,
194,-2060.47095,
195,-2060.47095,
196,-2060.47095,
197,-2060.47095,
198,-2060.47095,
199,-2060.47095,
200,-2060.47095,
201,-2060.47095,
202,-2060.47095,
203,-2060.47095,
204,-2060.47095,
205,-2060.47095,
206,-2060.47095,
207,-2060.47095,
208,-2060.47095,
209,-2060.47095,
210,-2060.47095,
211,-2060.47095,
212,-2060.47094,
213,-2060.47095,
214,-2067.82349,
215,-2094.60280,
216,-2094.60280,
217,-2094.60280,
218,-2094.60280,
219,-2094.60280,
220,-2094.60280,
221,-2094.60280,
222,-2094.60280,
223,-2094.60280,
224,-2094.60280,
225,-2094.60280,
226,-2094.60280,
227,-2094.60280,
228,-2094.60280,
229,-2094.60280,
230,-2094.60280,
231,-2094.60280,
232,-2094.60280,
233,-2094.60280,
234,-2094.60280,
235,-2094.60280,
236,-2094.60280,
237,-2094.60280,
238,-2094.60280,
239,-2094.60280,
240,-2094.60279,
241,-2094.60279,
242,-2094.60279,
243,-2094.60280,
244,-2094.60280,
245,-2094.60280,
246,-2094.60280,
247,-2094.60280,
248,-2094.60280,
249,-2094.60280,
250,-2094.60279,
251,-2094.60280,
252,-2094.60280,
253,-2094.60280,
254,-2094.60280,
255,-2094.60280,
256,-2094.60280,
257,-2094.60280,
258,-2094.60280,
259,-2094.60280,
260,-2094.60280,
261,-2094.60280,
262,-2094.60280,
263,-2094.60280,
264,-2094.60280,
265,-2094.60280,
266,-2094.60280,
267,-2094.60280,
268,-2094.60280,
269,-2094.60280,
270,-2094.60280,
271,-2094.60280,
272,-2094.60280,
273,-2094.60280,
274,-2094.60280,
275,-2094.60280,
276,-2094.60280,
277,-2094.60280,
278,-2094.60280,
279,-2094.60280,
280,-2094.60280,
281,-2094.60280,
282,-2094.60280,
283,-2094.60280,
284,-2094.60280,
285,-2094.60280,
286,-2094.60280,
287,-2094.60280,
288,-2094.60280,
289,-2094.60280,
290,-2094.60280,
291,-2094.60280,
292,-2094.60280,
293,-2094.60280,
294,-2094.60281,
295,-2094.60280,
296,-2094.60280,
297,-2094.60280,
298,-2094.60280,
299,-2094.60280,
300,-2094.60280,
301,-2094.60279,
302,-2094.60279,
303,-2094.60278,
304,-2094.60280,
305,-2094.60280,
306,-2094.60280,
307,-2094.60279,
308,-2094.60279,
309,-2094.60280,
310,-2094.60280,
311,-2094.60280,
312,-2094.60280,
313,-2094.60280,
314,-2094.60280,
315,-2094.60280,
316,-2094.60279,
317,-2094.60278,
318,-2094.60280,
319,-2094.60280,
320,-2094.60280,
321,-2094.60280,
322,-2094.60280,
323,-2094.60280,
324,-2094.60280,
325,-2094.60280,
326,-2094.60280,
327,-2094.60280,
328,-2094.60280,
329,-2094.60280,
330,-2094.60280,
331,-2094.60280,
332,-2094.60280,
333,-2094.60280,
334,-2094.60280,
335,-2094.60280,
336,-2094.60280,
337,-2094.60280,
338,-2094.60280,
339,-2094.60280,
340,-2094.60280,
341,-2094.60280,
342,-2094.60280,
343,-2094.60280,
344,-2094.60280,
345,-2094.60280,
346,-2094.60280,
347,-2094.60280,
348,-2094.60279,
349,-2094.60280,
350,-2094.60280,
351,-2094.60280,
352,-2094.60280,
353,-2094.60280,
354,-2094.60280,
355,-2094.60280,
356,-2094.60280,
357,-2094.60280,
358,-2094.60280,
359,-2094.60280,
360,-2094.60280,
361,-2094.60280,
362,-2094.60279,
363,-2094.60279,
364,-2094.60280,
365,-2094.60280,
366,-2094.60280,
367,-2094.60280,
368,-2094.60280,
369,-2094.60280,
370,-2094.60280,
371,-2094.60280,
372,-2094.60280,
373,-2094.60280,
374,-2094.60280,
375,-2094.60280,
376,-2094.60280,
377,-2094.60280,
378,-2094.60280,
379,-2094.60280,
380,-2094.60280,
381,-2094.60280,
382,-2094.60280,
383,-2094.60280,
384,-2094.60280,
385,-2094.60280,
386,-2094.60280,
387,-2094.60280,
388,-2094.60280,
389,-2094.60280,
390,-2094.60280,
391,-2094.60280,
392,-2094.60280,
393,-2094.60280,
394,-2094.60280,
395,-2094.60280,
396,-2094.60280,
397,-2094.60280,
398,-2094.60280,
399,-2094.60280,
400,-2094.60280,
401,-2094.60279,
402,-2094.60280,
403,-2094.60280,
404,-2094.60280,
405,-2094.60280,
406,-2094.60280,
407,-2094.60280,
408,-2094.60280,
409,-2094.60280,
410,-2094.60280,
411,-2094.60280,
412,-2094.60280,
413,-2094.60280,
414,-2094.60280,
415,-2094.60280,
416,-2094.60280,
417,-2094.60280,
418,-2094.60280,
419,-2094.60279,
420,-2094.60279,
421,-2094.60280,
422,-2094.60280,
423,-2094.60280,
424,-2094.60280,
425,-2094.60280,
426,-2094.60280,
427,-2094.60280,
428,-2094.60280,
429,-2094.60280,
430,-2094.60280,
431,-2094.60280,
432,-2094.60280,
433,-2094.60280,
434,-2094.60279,
435,-2094.60279,
436,-2094.60279,
437,-2094.60279,
438,-2094.60278,
439,-2094.60278,
440,-2094.60280,
441,-2094.60280,
442,-2094.60280,
443,-2094.60280,
444,-2094.60280,
445,-2094.60280,
446,-2094.60280,
447,-2094.60280,
448,-2094.60280,
449,-2094.60280,
450,-2094.60280,
451,-2094.60280,
452,-2094.60280,
453,-2094.60280,
454,-2094.60280,
455,-2094.60280,
456,-2094.60279,
457,-2094.60278,
458,-2094.60278,
459,-2094.60278,
460,-2094.60278,
461,-2094.60278,
462,-2094.60278,
463,-2094.60278,
464,-2094.60278,
465,-2094.60278,
466,-2094.60278,
467,-2094.60278,
468,-2094.60278,
469,-2094.60278,
470,-2094.60280,
471,-2094.60280,
472,-2094.60279,
473,-2094.60279,
474,-2094.60280,
475,-2094.60280,
476,-2094.60280,
477,-2094.60280,
478,-2094.60280,
479,-2094.60281,
480,-2094.60281,
481,-2094.60280,
482,-2094.60280,
483,-2094.60280,
484,-2094.60280,
485,-2094.60280,
486,-2094.60280,
487,-2094.60280,
488,-2094.60280,
489,-2094.60280,
490,-2094.60280,
491,-2094.60280,
492,-2094.60280,
493,-2094.60280,
494,-2094.60280,
495,-2094.60280,
496,-2094.60280,
497,-2094.60280,
498,-2094.60280,
499,-2094.60280,
500,-2094.60280,
501,-2094.60280,
502,-2094.60280,
503,-2094.60280,
504,-2094.60280,
505,-2094.60280,
506,-2094.60280,
507,-2094.60280,
508,-2094.60280,
509,-2094.60280,
510,-2094.60279,
511,-2094.60280,
512,-2094.60280,
513,-2094.60280,
514,-2094.60280,
515,-2094.60280,
516,-2094.60280,
517,-2094.60280,
518,-2094.60280,
519,-2094.60280,
520,-2094.60280,
521,-2094.60280,
522,-2094.60280,
523,-2094.60280,
524,-2094.60280,
525,-2094.60280,
526,-2094.60280,
527,-2094.60280,
528,-2094.60280,
529,-2094.60280,
530,-2094.60280,
531,-2094.60280,
532,-2094.60280,
533,-2094.60280,
534,-2094.60280,
535,-2094.60280,
536,-2094.60280,
537,-2094.60280,
538,-2094.60280,
539,-2094.60280,
540,-2094.60280,
541,-2094.60280,
542,-2094.60280,
543,-2094.60280,
544,-2094.60280,
545,-2094.60280,
546,-2094.60280,
547,-2094.60280,
548,-2094.60280,
549,-2094.60280,
550,-2094.60280,
551,-2094.60280,
552,-2094.60280,
553,-2094.60280,
554,-2094.60280,
555,-2094.60280,
556,-2094.60280,
557,-2094.60280,
558,-2094.60280,
559,-2094.60280,
560,-2094.60280,
561,-2094.60280,
562,-2094.60280,
563,-2094.60280,
564,-2094.60280,
565,-2094.60280,
566,-2094.60280,
567,-2094.60280,
568,-2094.60280,
569,-2094.60280,
570,-2094.60280,
571,-2094.60280,
572,-2094.60280,
573,-2094.60280,
574,-2094.60280,
575,-2094.60280,
576,-2094.60280,
577,-2094.60280,
578,-2094.60280,
579,-2094.60281,
580,-2094.60281,
581,-2094.60281,
582,-2094.60280,
583,-2094.60280,
584,-2094.60280,
585,-2094.60280,
586,-2094.60280,
587,-2094.60280,
588,-2094.60280,
589,-2094.60280,
590,-2094.60280,
591,-2094.60280,
592,-2094.60280,
