x7, y7, x10, y10, x12, y12, x16, y16,
7, 3803, 11, 4071, 15, 3475, 31, 131,
6, 3556, 10, 4100, 14, 3684, 30, 100,
5, 3225, 9, 4069, 13, 3857, 29, 129,
4, 2804, 8, 3972, 12, 3988, 28, 212,
3, 2287, , , , , 27, 343,
2, 1668, , , , , 26, 516,
1, 941, , , , , 25, 725,
0, 100, , , , , 24, 964,
, , , , , , 23, 1227,
, , , , , , 22, 1508,
, , , , , , 21, 1801,
, , , , , , 20, 2100,
, , , , , , 19, 2399,
, , , , , , 18, 2692,
, , , , , , 17, 2973,
, , , , , , 16, 3236,
