x7, y7, x10, y10, x12, y12, x16, y16,
31, 131, 30, 100, 28, 212, 19, 2399,
23, 1227, 29, 129, 24, 964, 18, 2692,
15, 3475, 27, 343, 20, 2100, 17, 2973,
7, 3803, 26, 516, 12, 3988, 16, 3236,
, , 25, 725, 8, 3972, 3, 2287,
, , 22, 1508, 4, 2804, 2, 1668,
, , 21, 1801, , , 1, 941,
, , 14, 3684, , , 0, 100,
, , 13, 3857, , , , ,
, , 11, 4071, , , , ,
, , 10, 4100, , , , ,
, , 9, 4069, , , , ,
, , 6, 3556, , , , ,
, , 5, 3225, , , , ,
