gen,val,
1,146.03110,
2,121.45439,
3,101.63164,
4,88.97192,
5,78.99235,
6,69.31819,
7,58.31944,
8,50.65781,
9,45.58353,
10,40.61505,
11,36.27897,
12,32.27749,
13,29.01403,
14,26.44017,
15,25.08877,
16,22.18850,
17,19.97507,
18,17.06437,
19,14.84219,
20,13.98418,
21,11.75086,
22,10.54676,
23,9.54504,
24,8.52577,
25,7.38114,
26,6.61358,
27,6.18502,
28,5.60020,
29,5.04099,
30,4.70455,
31,3.76916,
32,3.56255,
33,3.07505,
34,2.81239,
35,2.35176,
36,2.11364,
37,1.67834,
38,1.63948,
39,1.51686,
40,1.30740,
41,1.20944,
42,1.18314,
43,1.04800,
44,1.01239,
45,0.88906,
46,0.75671,
47,0.68445,
48,0.61900,
49,0.55412,
50,0.51836,
51,0.48163,
52,0.37570,
53,0.33555,
54,0.31088,
55,0.26990,
56,0.26267,
57,0.25291,
58,0.22552,
59,0.21268,
60,0.17642,
61,0.16248,
62,0.15327,
63,0.13394,
64,0.12180,
65,0.11450,
66,0.10373,
67,0.09653,
68,0.09254,
69,0.08924,
70,0.08542,
71,0.05523,
72,0.04077,
73,0.03775,
74,0.03508,
75,0.03397,
76,0.03367,
77,0.03197,
78,0.02424,
79,0.02019,
80,0.01935,
81,0.01736,
82,0.01714,
83,0.01552,
84,0.01506,
85,0.01477,
86,0.01458,
87,0.01410,
88,0.01374,
89,0.01307,
90,0.01234,
91,0.01140,
92,0.01138,
93,0.01134,
94,0.01078,
95,0.00925,
96,0.00860,
97,0.00815,
98,0.00772,
99,0.00764,
100,0.00751,
101,0.00550,
102,0.00525,
103,0.00513,
104,0.00513,
105,0.00493,
106,0.00486,
107,0.00472,
108,0.00473,
109,0.00470,
110,0.00449,
111,0.00434,
112,0.00415,
113,0.00394,
114,0.00335,
115,0.00323,
116,0.00312,
117,0.00302,
118,0.00289,
119,0.00285,
120,0.00285,
121,0.00274,
122,0.00273,
123,0.00273,
124,0.00268,
125,0.00268,
126,0.00224,
127,0.00222,
128,0.00220,
129,0.00218,
130,0.00214,
131,0.00211,
132,0.00210,
133,0.00209,
134,0.00210,
135,0.00211,
136,0.00207,
137,0.00111,
138,0.00108,
139,0.00109,
140,0.00100,
141,0.00101,
142,0.00100,
143,0.00061,
144,0.00061,
145,0.00055,
