gen,val,
1,148.51133,
2,123.67470,
3,109.95691,
4,87.52267,
5,87.94436,
6,78.31371,
7,60.12125,
8,46.56898,
9,43.66032,
10,38.38054,
11,36.88070,
12,34.86142,
13,30.52603,
14,24.51616,
15,22.00371,
16,19.00655,
17,15.20088,
18,14.74035,
19,14.04684,
20,10.91297,
21,10.41497,
22,9.84785,
23,9.24013,
24,8.06551,
25,6.91341,
26,6.11624,
27,5.89673,
28,5.73418,
29,5.12346,
30,4.82537,
31,4.46475,
32,4.05877,
33,3.59618,
34,3.09720,
35,2.81345,
36,2.79017,
37,2.22561,
38,2.11280,
39,1.98817,
40,1.40776,
41,1.16022,
42,0.97358,
43,0.99880,
44,0.93718,
45,0.75759,
46,0.76073,
47,0.75476,
48,0.72238,
49,0.59500,
50,0.55632,
51,0.53799,
52,0.49472,
53,0.49924,
54,0.44897,
55,0.45306,
56,0.44373,
57,0.38872,
58,0.37558,
59,0.35696,
60,0.29081,
61,0.29314,
62,0.27740,
63,0.27672,
64,0.23997,
65,0.24651,
66,0.22184,
67,0.21882,
68,0.23226,
69,0.20795,
70,0.21046,
71,0.19797,
72,0.18618,
73,0.16622,
74,0.15897,
75,0.15920,
76,0.15839,
77,0.15979,
78,0.15792,
79,0.15719,
80,0.15083,
81,0.14153,
82,0.12384,
83,0.11266,
84,0.09805,
85,0.09330,
86,0.08741,
87,0.08444,
88,0.07453,
89,0.08076,
90,0.07520,
91,0.07525,
92,0.07978,
93,0.07535,
94,0.07308,
95,0.07101,
96,0.06889,
97,0.06484,
98,0.06760,
99,0.06228,
100,0.05805,
101,0.06234,
102,0.06042,
103,0.05257,
104,0.05240,
105,0.05026,
106,0.04915,
107,0.04980,
108,0.04839,
109,0.04659,
110,0.04703,
111,0.04467,
112,0.04524,
113,0.04326,
114,0.04194,
115,0.04229,
116,0.04093,
117,0.03975,
118,0.04048,
119,0.03861,
120,0.03927,
121,0.03830,
122,0.03832,
123,0.03611,
124,0.03716,
125,0.03707,
126,0.03509,
127,0.03174,
128,0.03320,
129,0.03773,
130,0.03581,
131,0.02613,
132,0.02546,
133,0.02655,
134,0.02184,
135,0.02604,
136,0.02458,
137,0.02202,
138,0.02220,
139,0.01614,
140,0.01867,
141,0.01620,
142,0.01959,
143,0.01944,
144,0.01797,
145,0.01715,
146,0.01689,
147,0.01735,
148,0.01756,
149,0.01813,
150,0.01749,
151,0.01590,
152,0.01548,
153,0.01529,
154,0.01475,
155,0.01484,
156,0.01581,
157,0.01541,
158,0.01570,
159,0.01504,
160,0.01465,
161,0.01304,
162,0.01453,
163,0.01275,
164,0.01476,
165,0.01445,
166,0.01502,
167,0.01421,
168,0.01453,
169,0.01309,
170,0.01248,
171,0.01172,
172,0.01271,
173,0.01172,
174,0.01079,
175,0.00907,
176,0.00882,
177,0.00922,
178,0.00963,
179,0.00913,
180,0.00869,
181,0.00868,
182,0.00827,
183,0.00730,
184,0.00757,
185,0.00825,
186,0.00895,
187,0.00856,
188,0.00707,
189,0.00724,
190,0.00753,
191,0.00804,
192,0.00927,
193,0.00952,
194,0.00912,
195,0.00950,
196,0.00934,
197,0.00874,
198,0.00880,
199,0.00878,
200,0.00887,
201,0.00894,
202,0.00817,
203,0.00832,
204,0.00751,
205,0.00720,
206,0.00752,
207,0.00753,
208,0.00714,
209,0.00710,
210,0.00683,
211,0.00720,
212,0.00716,
213,0.00650,
214,0.00635,
215,0.00599,
216,0.00635,
217,0.00671,
218,0.00717,
219,0.00701,
220,0.00679,
221,0.00706,
222,0.00682,
223,0.00706,
224,0.00701,
225,0.00648,
226,0.00652,
227,0.00657,
228,0.00576,
229,0.00630,
230,0.00643,
231,0.00578,
232,0.00672,
233,0.00662,
234,0.00694,
235,0.00673,
236,0.00653,
237,0.00624,
238,0.00608,
239,0.00644,
240,0.00680,
241,0.00652,
242,0.00682,
243,0.00561,
244,0.00634,
245,0.00641,
246,0.00637,
247,0.00672,
248,0.00658,
249,0.00659,
250,0.00536,
251,0.00584,
252,0.00610,
253,0.00614,
254,0.00655,
255,0.00639,
256,0.00646,
257,0.00611,
258,0.00637,
259,0.00613,
260,0.00621,
261,0.00618,
262,0.00608,
263,0.00624,
264,0.00597,
265,0.00613,
266,0.00589,
267,0.00665,
268,0.00645,
269,0.00630,
270,0.00592,
271,0.00600,
272,0.00587,
273,0.00636,
274,0.00500,
275,0.00503,
276,0.00515,
277,0.00504,
278,0.00748,
279,0.00673,
280,0.00742,
281,0.00788,
282,0.00820,
283,0.00733,
284,0.00822,
285,0.00845,
286,0.00859,
287,0.00909,
288,0.00861,
289,0.00875,
290,0.00827,
291,0.00834,
292,0.00837,
293,0.00726,
294,0.00744,
295,0.00713,
296,0.00618,
297,0.00639,
298,0.00633,
299,0.00622,
300,0.00568,
301,0.00674,
302,0.00613,
303,0.00630,
304,0.00746,
305,0.00713,
306,0.00748,
307,0.00655,
308,0.00626,
309,0.00705,
310,0.00631,
311,0.00650,
312,0.00647,
313,0.00658,
314,0.00663,
315,0.00723,
316,0.00754,
317,0.00789,
318,0.00812,
319,0.00796,
320,0.00813,
321,0.00832,
322,0.00806,
323,0.00805,
324,0.00752,
325,0.00751,
326,0.00705,
327,0.00785,
328,0.00828,
329,0.00638,
330,0.00639,
331,0.00904,
332,0.00823,
333,0.00833,
334,0.00717,
335,0.00776,
336,0.00644,
337,0.00667,
338,0.00592,
339,0.00586,
340,0.00539,
341,0.00566,
342,0.00583,
343,0.00627,
344,0.00600,
345,0.00609,
346,0.00596,
347,0.00585,
348,0.00548,
349,0.00586,
350,0.00566,
351,0.00557,
352,0.00525,
353,0.00553,
354,0.00551,
355,0.00539,
356,0.00598,
357,0.00519,
358,0.00540,
359,0.00470,
360,0.00421,
361,0.00493,
362,0.00612,
363,0.00469,
364,0.00459,
365,0.00542,
366,0.00532,
367,0.00494,
368,0.00543,
369,0.00530,
370,0.00547,
371,0.00613,
372,0.00525,
373,0.00511,
374,0.00518,
375,0.00548,
376,0.00572,
377,0.00546,
378,0.00528,
379,0.00519,
380,0.00534,
381,0.00617,
382,0.00640,
383,0.00597,
384,0.00698,
385,0.00560,
386,0.00550,
387,0.00588,
388,0.00509,
389,0.00536,
390,0.00444,
391,0.00378,
392,0.00388,
393,0.00394,
394,0.00385,
395,0.00379,
396,0.00424,
397,0.00435,
398,0.00424,
399,0.00613,
400,0.00659,
401,0.00670,
402,0.00626,
403,0.00677,
404,0.00625,
405,0.00722,
406,0.00853,
407,0.00745,
408,0.00781,
409,0.00743,
410,0.00854,
411,0.00917,
412,0.00822,
413,0.00846,
414,0.00664,
415,0.00645,
416,0.00792,
417,0.00751,
418,0.00770,
419,0.00747,
420,0.00693,
421,0.00692,
422,0.00768,
423,0.00754,
424,0.00792,
425,0.00809,
426,0.00723,
427,0.00769,
428,0.00830,
429,0.00777,
430,0.00874,
431,0.00779,
432,0.00761,
433,0.00780,
434,0.00740,
435,0.00721,
436,0.00684,
437,0.00656,
438,0.00577,
439,0.00614,
440,0.00769,
441,0.00729,
442,0.00702,
443,0.00695,
444,0.00680,
445,0.00681,
446,0.00735,
447,0.00749,
448,0.00752,
449,0.00832,
450,0.00745,
451,0.00724,
452,0.00693,
453,0.00818,
454,0.00806,
455,0.00807,
456,0.00795,
457,0.00776,
458,0.00728,
459,0.00667,
460,0.00738,
461,0.00648,
462,0.00655,
463,0.00594,
464,0.00661,
465,0.00669,
466,0.00715,
467,0.00661,
468,0.00707,
