gen,val,
1,420.56965,
2,391.13497,
3,351.84928,
4,313.73465,
5,290.00876,
6,271.53088,
7,249.06324,
8,236.09684,
9,221.50534,
10,207.33739,
11,191.73710,
12,172.14006,
13,164.96364,
14,145.30099,
15,138.89700,
16,132.70972,
17,128.19663,
18,120.57802,
19,112.80907,
20,109.28047,
21,106.86177,
22,103.59112,
23,98.46703,
24,94.71037,
25,94.10077,
26,92.62958,
27,83.49956,
28,82.68356,
29,81.87313,
30,79.57692,
31,74.18834,
32,71.89945,
33,70.96019,
34,70.55418,
35,69.14464,
36,68.49505,
37,66.98037,
38,66.60997,
39,66.13335,
40,65.70635,
41,65.20791,
42,64.58497,
43,64.30738,
44,64.16275,
45,62.63946,
46,60.08594,
47,59.86328,
48,57.02595,
49,56.53410,
50,56.29991,
51,56.25753,
52,56.07262,
53,55.69590,
54,55.27117,
55,54.95475,
56,54.86762,
57,54.83587,
58,53.49335,
59,53.41900,
60,53.36582,
61,52.81908,
62,52.36051,
63,52.16058,
64,51.88381,
65,51.84706,
66,51.77162,
67,51.70382,
68,51.07461,
69,51.01043,
70,50.93176,
71,50.74054,
72,50.73275,
73,50.55456,
74,50.52067,
75,48.01426,
76,47.49490,
77,47.45056,
78,47.44000,
79,47.09909,
80,46.72786,
81,46.66259,
82,46.64511,
83,46.56282,
84,46.55779,
85,46.55781,
86,46.46576,
87,43.58879,
88,43.57460,
89,43.55245,
90,42.69826,
91,42.67014,
92,42.65750,
93,42.65945,
94,42.63482,
95,42.62614,
96,42.62445,
97,42.52877,
98,42.52598,
99,42.49488,
100,42.38508,
101,41.70390,
102,41.42787,
103,41.40271,
104,39.08062,
105,38.68711,
106,38.58117,
107,38.03760,
108,37.98131,
109,37.91327,
110,37.87552,
111,37.87341,
112,37.38518,
113,37.27516,
114,37.27136,
115,36.43470,
116,36.42343,
117,36.32755,
118,36.32252,
119,36.31992,
120,36.27629,
121,36.26689,
122,36.26764,
123,36.18807,
124,36.13712,
125,35.79691,
126,35.65961,
127,35.65759,
128,35.58179,
129,35.56053,
130,35.49542,
131,35.45438,
132,35.45185,
133,35.45117,
134,35.43121,
135,35.43026,
136,35.42997,
137,35.35309,
138,35.34651,
139,35.34557,
140,35.34268,
141,35.34066,
142,35.32914,
143,35.32678,
144,35.31201,
145,35.30042,
146,35.30028,
147,35.30068,
148,35.30068,
149,32.38311,
150,32.38310,
151,32.38275,
152,32.37900,
153,32.37681,
154,32.23552,
155,32.04552,
156,32.00360,
157,31.43744,
158,31.10436,
159,31.10021,
160,30.99139,
161,30.83470,
162,30.83319,
163,30.82535,
164,30.81701,
165,30.81687,
166,30.81430,
167,30.73928,
168,30.73022,
169,30.73022,
170,30.72509,
171,30.72467,
172,30.69049,
173,30.69046,
174,30.68763,
175,30.66038,
176,30.58707,
177,30.58392,
178,30.52700,
179,30.51632,
180,30.51625,
181,30.50742,
182,30.50743,
183,30.50586,
184,30.48221,
185,30.47393,
186,30.47529,
187,30.45567,
188,30.38349,
189,30.38376,
190,30.36498,
191,30.36266,
192,30.36298,
193,30.36214,
194,30.32207,
195,30.32198,
196,30.32162,
197,30.24838,
198,30.24726,
199,30.24735,
200,30.24747,
201,30.24731,
202,30.24093,
203,30.23608,
204,30.23615,
205,30.22401,
206,30.22045,
207,30.22044,
208,30.21990,
209,30.21990,
210,30.21926,
211,30.21774,
212,30.21283,
213,30.21278,
214,30.21282,
215,30.21061,
216,30.21061,
217,30.21013,
218,30.20962,
219,30.20962,
220,30.20941,
221,30.21836,
222,30.21823,
223,30.21500,
224,30.21479,
225,30.21478,
226,30.20642,
227,30.20630,
228,30.20517,
229,30.20513,
230,30.20525,
231,30.20525,
232,30.18778,
233,30.18782,
234,30.18693,
235,30.18591,
236,30.18761,
237,30.18654,
238,30.18554,
239,30.18555,
240,30.18627,
241,30.18572,
242,30.18551,
243,30.18557,
244,30.18511,
245,30.18506,
246,30.18484,
247,30.18480,
248,30.18380,
249,30.18394,
250,30.18394,
251,30.18429,
252,30.18432,
253,30.18369,
254,30.18440,
255,30.18450,
256,30.18400,
257,30.18181,
258,30.18140,
259,30.18047,
260,30.18024,
261,30.18021,
262,30.17983,
263,30.18429,
264,30.18432,
265,30.18378,
266,30.18385,
267,30.18320,
268,30.18316,
269,30.18312,
270,30.18275,
271,30.18275,
272,30.18249,
273,30.18021,
274,30.18024,
275,30.17850,
276,30.17759,
277,30.17772,
278,30.17795,
279,30.17782,
280,30.17763,
281,30.17776,
282,30.17777,
283,30.17768,
284,30.18091,
285,29.47031,
286,29.46744,
287,29.43351,
288,29.43351,
289,29.23295,
290,29.22701,
291,29.22909,
292,29.22874,
293,29.22613,
294,29.19174,
295,29.19161,
296,29.19151,
297,29.19125,
298,29.19124,
299,29.19111,
300,29.18969,
301,29.19045,
302,29.18944,
303,29.18942,
304,29.18922,
305,29.18920,
306,29.18891,
307,29.18895,
308,29.18895,
309,29.18895,
310,29.18896,
311,29.18894,
312,29.18870,
313,29.18870,
314,29.18835,
315,29.18839,
316,29.18811,
317,29.18794,
318,29.18803,
319,29.18772,
320,29.18732,
321,29.18723,
322,29.18718,
323,29.18717,
324,29.18690,
325,29.18680,
326,29.18647,
327,29.18648,
328,29.18648,
329,29.19380,
330,29.19437,
331,29.19420,
332,29.19428,
333,29.19471,
334,29.19901,
335,29.19296,
336,29.19381,
337,29.19380,
338,29.19377,
339,29.19371,
340,29.19388,
341,29.19447,
342,29.19437,
343,29.19432,
344,29.19441,
345,29.19435,
346,29.19433,
347,28.45172,
348,28.45171,
349,28.45386,
350,28.32717,
351,28.32703,
352,28.32278,
353,28.20749,
354,28.20737,
355,28.20703,
356,28.20874,
357,28.20874,
358,28.20874,
359,28.20871,
360,28.20904,
361,28.20876,
362,28.20244,
363,28.20353,
364,28.20369,
365,28.20394,
366,28.20112,
367,28.20116,
368,28.20000,
369,28.19999,
370,28.19992,
371,28.19982,
372,28.19989,
373,28.19952,
374,28.20127,
375,28.20130,
376,28.20107,
377,28.20088,
378,28.20058,
379,28.20039,
380,28.19836,
381,28.19836,
382,28.19853,
383,28.19814,
384,28.19814,
385,28.19825,
386,28.20044,
387,28.20046,
388,28.20047,
389,28.20093,
390,28.19986,
391,28.19981,
392,28.19991,
393,28.20435,
394,28.20469,
395,28.20464,
396,28.20454,
397,28.20446,
398,28.20446,
399,28.20427,
400,28.20427,
401,28.20008,
402,28.20231,
403,28.20232,
404,28.20209,
405,28.20213,
406,28.20213,
407,28.20205,
408,28.20133,
409,28.20123,
410,28.20142,
411,28.19863,
412,28.19833,
413,28.19631,
414,28.19618,
415,28.19617,
416,28.20252,
417,28.20239,
418,28.20212,
419,28.20212,
420,28.20204,
421,28.19990,
422,28.20107,
423,28.20081,
424,28.20809,
425,28.20809,
426,28.20807,
427,28.20700,
428,28.20700,
429,28.20484,
430,28.21093,
431,28.20859,
432,28.20668,
433,28.20843,
434,28.20792,
435,28.20798,
436,28.20762,
437,28.20153,
438,28.20153,
439,28.20154,
440,28.19905,
441,28.19975,
442,28.19958,
443,28.19962,
444,28.19960,
445,28.19960,
446,28.20062,
447,28.20049,
448,28.20043,
449,28.19866,
450,28.19866,
451,28.19867,
452,28.19867,
453,28.19735,
454,28.19801,
455,28.19828,
456,28.19934,
457,28.20343,
458,28.19912,
459,28.19858,
460,28.19858,
461,28.19879,
462,28.19874,
463,28.19873,
464,28.19771,
465,28.19554,
466,28.19555,
467,28.19535,
468,28.19484,
469,28.19484,
470,28.19480,
471,28.19479,
472,28.19485,
473,28.19484,
474,28.19495,
475,28.19171,
476,28.19413,
477,28.19401,
478,28.19400,
479,28.19614,
480,28.19623,
